id	sections	draft
194:$55B1	item_and_action_messages	But nothing happened.
194:$55C0	item_and_action_messages	But it had no effect.
194:$55CE	item_and_action_messages	It looks like this must be placed to use it.
194:$55E0	item_and_action_messages	It looks like this must be thrown to use it.
194:$55F2	item_and_action_messages	But there was no explosion.
194:$5604	item_and_action_messages	<number:19:C5> <cF3>hit <lookup:1A:C5>.
194:$5616	item_and_action_messages	<number:19:C5> <cF3>missed.
194:$5623	item_and_action_messages	Equipped <cF3><number:19:C5>.
194:$5631	item_and_action_messages	Removed <cF3><number:19:C5>.
194:$563E	item_and_action_messages	<box>Your equipment began to resonate! Something seems to have happened.<page>
194:$5660	item_and_action_messages	Waved <cF3><number:19:C5>.
194:$566C	item_and_action_messages	Read <cF3><number:19:C5>.
194:$5679	item_and_action_messages	Made <number:19:C5> <cF3>into medicine <cF3>and drank it.
194:$568C	item_and_action_messages	Pushed <number:19:C5>.
194:$5697	item_and_action_messages	Ate <cF3><number:19:C5>.
194:$56A4	item_and_action_messages	Recovered <cF3><copy:01:19:C5> HP.
194:$56B9	item_and_action_messages	<box>Max HP increased by <copy:01:19:C5>.
194:$56D1	item_and_action_messages	You feel a little fuller.
194:$56E0	item_and_action_messages	Your belly is full!
194:$56EF	item_and_action_messages	<lookup:19:C5> <cF3>choked on <cF3><number:1B:C5>.
194:$5706	item_and_action_messages	<lookup:19:C5> <cF3>turned into a <cF3>Squid Sushi Scroll.
194:$571C	item_and_action_messages	HP was fully restored!<page>
194:$5729	item_and_action_messages	<box>You feel wide awake. You won't get sleepy for a while!<page>
194:$5747	item_and_action_messages	<box>You feel pleasantly full. You won't get hungry for a while!<page>
194:$5768	item_and_action_messages	<box>Your body feels light. You can walk silently for a while!<page>
194:$578B	item_and_action_messages	<box>Your mind feels crystal clear. You can identify items now!<page>
194:$57AA	item_and_action_messages	You can now identify items!<page>
194:$57BF	item_and_action_messages	<box><number:19:C5> is <cF3>cursed!
194:$57D0	item_and_action_messages	<number:19:C5> is cursed and won't come off!
194:$57E5	item_and_action_messages	<number:19:C5> is cursed and cannot be shot!
194:$57F9	item_and_action_messages	<number:19:C5> is cursed and cannot be eaten!
194:$580F	item_and_action_messages	<number:19:C5> is cursed, so its magic won't work!
194:$5826	item_and_action_messages	<number:19:C5> is cursed and cannot be read!
194:$583A	item_and_action_messages	<number:19:C5> is cursed and cannot be written on!
194:$5850	item_and_action_messages	<number:19:C5> is cursed, so nothing can be put inside!
194:$5866	item_and_action_messages	<number:19:C5> is cursed, so nothing can be taken out!
194:$587A	item_and_action_messages	<number:19:C5> is cursed and cannot be pushed!
194:$588E	item_and_action_messages	<number:19:C5> is cursed and cannot be placed!
194:$58A2	item_and_action_messages	<number:19:C5> is cursed and cannot draw water!
194:$58B6	item_and_action_messages	<number:19:C5> was <cF3><number:1A:C5>.
194:$58C6	item_and_action_messages	This must be <cF3><number:19:C5>!
194:$58D7	item_and_action_messages	What! It was <cF3><number:19:C5>.
194:$58E6	item_and_action_messages	This is <cF3><number:19:C5>!
194:$58F2	item_and_action_messages	<box>Max Fullness increased by <copy:01:19:C5> points.
