id	loc	bytes	jp	en	edited_en
192:$41D2	216:$50A3	14	test「いちじてきなもの」	test「いちじてきなもの」	
192:$41E1	216:$50B2	5	event	event	
192:$41E7	216:$50B8	7	message	message	
192:$41EF	216:$50C0	10	unit color	unit color	
192:$41FA	216:$50CB	7	mos anm	mos anm	
192:$4202	216:$50D3	7	map obj	map obj	
192:$420A	216:$50DB	10	shiren anm	shiren anm	
192:$4215	216:$50E6	8	tobi anm	tobi anm	
192:$421E	216:$50EF	8	key scan	key scan	
192:$4227	216:$50F8	2	あき	あき	
192:$422A	216:$50FB	2	あき	あき	
192:$422D	216:$50FE	2	あき	あき	
192:$4230	216:$5101	2	あき	あき	
192:$4233	216:$5104	2	あき	あき	
192:$4236	216:$5107	7	ふうらいにっき	ふうらいにっき	
192:$423E	216:$510F	7	ゲームスタート	ゲームスタート	
192:$4246	216:$5117	16	                	                	
192:$4257	216:$5128	19	風来のシレン2 砂漠の魔城	風来のシレン2 砂漠の魔城	
192:$426B	216:$513C	4	mode	mode	
192:$4270	216:$5141	28	そうさ  se<27>exit<br>lr<27><2D><26><br>a<25>st<27>jump	そうさ  se<27>exit<br>lr<27><2D><26><br>a<25>st<27>jump	
192:$428D	216:$515E	8	msg bank	msg bank	
192:$4296	216:$5167	6	msg no	msg no	
192:$429D	216:$516E	8	msg mode	msg mode	
192:$42A6	216:$5177	46	そうさ se<27>exit<br>ud<27>bank<2D><26> lr<27>no<2D><26><br>st<27>mode<2D><26> a<27>disp	そうさ se<27>exit<br>ud<27>bank<2D><26> lr<27>no<2D><26><br>st<27>mode<2D><26> a<27>disp	
192:$42D5	216:$51A6	45	そうさ se<27>exit b<27>むき<2D><2D><br>lr<27>act<2D><26> ud<27>そうび<2D><2D><br>a<25>st<27>act	そうさ se<27>exit b<27>むき<2D><2D><br>lr<27>act<2D><26> ud<27>そうび<2D><2D><br>a<25>st<27>act	
192:$4303	216:$51D4	44	そうさ se<27>exit<br>lr<27>no<2D><26> ud<27>way<2D><26><br>a<27>act<2D><2D> st<27>mode	そうさ se<27>exit<br>lr<27>no<2D><26> ud<27>way<2D><26><br>a<27>act<2D><2D> st<27>mode	
192:$4330	216:$5201	30	no<27><copy:01:19:C5> x<27><copy:01:1A:C5> y<27><copy:01:1B:C5><br>cel<27><copy:01:1C:C5>	no<27><copy:01:19:C5> x<27><copy:01:1A:C5> y<27><copy:01:1B:C5><br>cel<27><copy:01:1C:C5>	
192:$434F	216:$5220	7	イベント no	イベント no	
192:$4357	216:$5228	0		<empty>	
192:$4358	216:$5229	33	  <copy:01:19:C5>   <lookup:1A:C5><br> chr<27><copy:01:1C:C5>  anm<27><copy:02:1D:C5>	  <copy:01:19:C5>   <lookup:1A:C5><br> chr<27><copy:01:1C:C5>  anm<27><copy:02:1D:C5>	
192:$437A	216:$524B	7	とくしゅなのだ	とくしゅなのだ	
